3.005 -0.630
0.528 1.294
3.659 1.266
2.692 -1.785
-0.366 0.023
0.908 1.134
-0.418 0.207
3.164 0.647
2.129 -0.667
3.354 1.231
0.725 0.500
-0.830 -0.510
3.916 -0.250
-0.653 0.258
2.701 -0.687
1.026 0.916
0.080 -0.277
2.498 -1.522
0.160 0.848
3.036 -0.153
3.872 0.245
2.385 -0.264
1.880 2.002
-0.920 -0.194
2.793 -0.927
3.263 0.280
-0.086 0.988
1.704 0.267
2.896 -0.760
3.205 0.141
0.190 0.696
3.336 1.717
2.574 -0.740
0.822 1.968
-0.345 -0.159
1.230 1.122
1.084 0.514
3.576 0.685
3.613 0.409
0.445 1.320
2.224 -0.933
-0.342 -0.186
-0.383 -0.121
1.967 -0.829
1.058 0.545
-0.365 -1.177
-0.978 -0.930
1.785 -0.009
1.394 0.611
2.455 -0.854
0.707 -0.100
1.326 1.047
0.124 0.212
0.829 1.342
0.117 1.211
0.230 -0.196
3.648 0.995
1.072 1.065
0.308 0.259
3.293 -0.019
2.425 -1.087
2.198 -1.255
-0.971 0.152
3.073 0.016
2.143 -0.288
2.206 -0.501
3.856 0.676
3.235 -0.379
3.146 -0.003
-0.881 -0.325
-0.288 0.093
-0.814 -0.767
3.205 -0.272
-0.819 0.458
-0.468 -0.335
2.037 -1.132
3.083 0.154
2.145 -1.243
2.180 0.434
0.081 0.594
-0.542 0.146
2.578 -1.272
-0.356 0.840
3.351 1.208
0.995 2.219
0.978 0.145
1.308 1.378
2.134 -0.098
2.040 -0.342
1.190 0.887
3.281 0.628
-0.956 0.264
0.104 0.539
-0.211 0.397
-0.609 1.012
1.583 0.737
3.449 1.495
1.140 1.171
-0.495 -0.270
1.149 1.031
1.477 0.503
2.783 0.076
0.934 1.432
-0.132 0.908
-0.281 0.240
0.300 -0.075
3.775 0.447
2.542 -0.432
0.134 0.322
2.679 -1.648
0.011 0.131
2.746 -2.300
-0.711 -0.129
2.487 -1.101
0.381 1.280
2.568 -0.921
2.354 -0.203
2.504 -1.332
2.404 -0.435
2.576 -1.020
-0.281 -0.127
3.432 0.310
3.578 2.032
0.517 0.851
3.234 0.891
2.755 -0.733
0.007 -0.716
2.706 -1.094
-0.355 0.033
-0.880 -0.259
-0.554 0.148
3.396 0.208
3.604 1.078
0.752 0.225
1.267 0.430
2.080 0.565
0.403 0.355
2.456 -0.751
0.230 0.776
-0.526 0.350
-0.436 -0.033
3.358 0.134
-0.409 0.797
2.134 0.199
1.406 0.265
3.618 0.692
2.961 -0.157
3.349 0.993
1.751 0.433
0.786 0.921
-0.963 0.899
-0.112 0.550
2.202 -0.771
2.048 0.406
2.361 -0.579
0.206 0.547
0.084 0.644
-0.810 -0.215
1.503 0.422
1.710 0.784
1.072 0.333
1.668 0.390
-0.965 -0.240
0.450 0.151
0.717 0.597
-0.743 0.216
2.845 -0.269
3.579 1.216
2.040 -0.583
0.001 0.695
1.006 0.783
3.409 1.127
1.185 0.644
-0.095 0.349
-0.978 0.260
0.919 0.318
0.358 0.717
3.816 0.058
1.198 0.348
1.759 0.838
0.330 1.154
-0.988 0.234
2.142 -0.324
3.587 1.127
3.368 0.699
0.849 0.862
1.506 1.005
0.566 0.632
3.990 1.237
0.122 0.229
-0.306 0.932
3.974 0.644
-0.043 -0.231
1.030 0.359
0.514 0.082
-0.519 0.674
2.551 -0.888
2.713 -0.641
3.913 0.352
0.410 -0.441
